x,y,z,t0
3.462721,0.4991025,-2.755186,4.448775
2.524095,-1.584196,-2.660125,4.456136
0.8720909,-2.419104,1.757218,1.839904
2.428649,-3.071356,0.5568181,3.256845
1.220061,-2.893302,-0.0748153,2.883463
3.287424,-3.773303,10.03112,1.768459
4.087905,-4.633593,9.091092,0.5827278
2.945009,-0.3101765,3.205703,0.4926121
1.690601,-0.1207169,-1.111002,2.935566
2.360105,-0.7610882,-0.6248283,2.671717
3.246093,-0.8842214,6.230709,3.923329
3.673113,-1.660989,4.927852,5.365108
-0.01750514,-1.064026,7.566615,1.470876
1.357668,-2.246134,9.400799,0.2546816
0.7878926,-1.483667,7.69323,3.858492
2.9549,-2.445346,3.031919,2.991035
3.232571,0.5147703,4.042212,4.042424
3.981431,-2.093595,5.972789,1.446403
3.856453,-1.942672,4.505294,1.696604
4.448412,-2.963443,7.776455,1.186903
0.8553042,-5.202085,7.240338,2.828045
2.219162,-3.723786,7.366227,2.426785
2.590294,-3.251321,5.96116,1.425196
0.8222392,-2.326304,6.958676,1.038246
1.26821,-2.925202,7.134944,3.582762
1.44774,-3.86713,6.697448,2.397309
2.066501,-1.69211,5.417231,4.190107
2.044479,-4.085169,6.520082,2.594807
2.177346,-3.822562,7.12174,3.707608
3.674289,-5.552574,8.821101,2.580845
2.030655,-2.713956,5.327677,4.741337
0.5586917,1.147851,2.848423,2.098796
-0.3333091,1.755062,4.252475,1.254063
0.3751334,-2.921379,8.50435,-0.2370996
2.786559,0.952575,3.958584,2.257008
-0.2721631,0.7117354,4.238867,3.378395
3.187179,-0.9482644,5.861761,0.2673905
1.236256,-0.4693963,6.637558,1.679476
1.763115,1.38839,-0.7723652,1.581258
0.8465374,1.565582,1.876276,2.220313
-0.1536812,0.0568532,2.42698,4.339247
-0.5530524,1.173987,4.656513,3.175802
2.439762,-0.7344933,-5.00934,6.055096
0.2442087,-1.206148,-2.334538,5.48173
2.673329,-0.9852682,-4.408476,7.347361
0.03558428,0.9560717,-1.219305,4.941591
0.681864,-0.2825744,-2.390451,6.915859
2.975,0.1413597,-6.664364,5.896127
3.607084,-1.229758,-5.038474,4.893703
4.284358,-0.1006901,-3.164404,5.507507
3.443593,-0.8741643,-3.782681,7.602331
1.960715,0.8169544,-1.884694,5.782158
1.886135,0.1529391,-0.4309979,4.953328
3.291944,0.7593213,-4.008576,6.593851
